run_dir,id,ok,pred_ok,token_count,char_length
2025-09-09_23-54-29,136,True,0.5175456451524615,10,74
2025-09-09_23-54-29,137,False,0.5365719919240295,6,53
2025-09-09_23-54-29,138,False,0.3840946676800951,16,140
2025-09-09_23-54-29,139,True,0.6164573442901781,4,33
2025-09-09_23-54-29,140,False,0.3727057307309696,8,64
2025-09-09_23-54-29,141,True,0.7510932792398249,10,99
2025-09-09_23-54-29,142,False,0.35846177270373475,11,87
2025-09-09_23-54-29,143,True,0.4232724762048617,12,95
2025-09-09_23-54-29,144,True,0.41998891795944016,6,53
2025-09-09_23-54-29,145,True,0.7589379822004729,10,79
2025-09-09_23-54-29,146,True,0.4191033597870613,11,88
2025-09-09_23-54-29,147,False,0.46557538909584584,5,43
2025-09-09_23-54-29,148,True,0.7177579278307092,11,122
2025-09-09_23-54-29,149,False,0.3231321378406974,13,116
2025-09-09_23-54-29,150,True,0.5175902432906391,6,52
2025-09-09_23-54-29,151,False,0.41275582235958147,11,85
2025-09-09_23-54-29,152,False,0.47073098263871455,6,55
2025-09-09_23-54-29,153,True,0.5218241579316863,10,71
2025-09-09_23-54-29,154,True,0.3631360574396076,16,127
2025-09-09_23-54-29,155,False,0.4128259777828116,13,106
2025-09-09_23-54-29,156,True,0.43253098200516077,15,134
2025-09-09_23-54-29,157,True,0.6460078682204009,4,34
2025-09-09_23-54-29,158,True,0.7226665068732755,13,133
2025-09-09_23-54-29,159,True,0.44015054097639006,6,41
2025-09-09_23-54-29,160,True,0.3671995345945393,9,71
2025-09-09_23-54-29,161,True,0.5510740203457088,5,43
2025-09-09_23-54-29,162,False,0.5220789471045634,10,70
2025-09-09_23-54-29,163,True,0.5237547949815212,7,48
2025-09-09_23-54-29,164,True,0.46836386223504456,9,71
2025-09-09_23-54-29,165,False,0.4360506530508435,12,101
2025-09-09_23-54-29,166,True,0.6961143650472313,10,109
2025-09-09_23-54-29,167,True,0.3119791409523081,15,134
2025-09-09_23-54-29,168,False,0.4182769695621361,13,116
2025-09-09_23-54-29,169,True,0.6164573442901781,4,33
2025-09-09_23-54-29,170,False,0.4144418214167444,16,126
2025-09-09_23-54-29,171,True,0.743321588975705,16,158
2025-09-09_23-54-29,172,False,0.4380128394405346,11,87
2025-09-09_23-54-29,173,True,0.7940312821176683,12,107
2025-09-09_23-54-29,174,True,0.4305005850472277,10,89
2025-09-09_23-54-29,175,False,0.42924861637455375,11,87
2025-09-09_23-54-29,176,False,0.35982059556205453,7,55
2025-09-09_23-54-29,177,True,0.5578796643600783,11,77
2025-09-09_23-54-29,178,True,0.5782470026493379,6,41
2025-09-09_23-54-29,179,True,0.3926952964192634,16,144
2025-09-09_23-54-29,180,True,0.5175902432906391,6,52
2025-09-09_23-54-29,181,False,0.39840478002641355,15,134
2025-09-09_23-54-29,182,True,0.706367307796753,10,111
2025-09-09_23-54-29,183,True,0.4283483100226884,14,117
2025-09-09_23-54-29,184,True,0.6399372098354532,5,35
